ID	Att1	Att2
1	4.234972851	11.04324845
2	4.387334393	11.61977863
3	4.105778595	8.505946268
4	6.564145913	9.079929407
5	4.4657343	9.33075577
6	5.472801805	11.08814725
7	3.827193474	8.853044112
8	50.3787669	28.85014572
9	51.58919945	27.16914173
10	51.47641827	27.64942172
11	51.19261637	28.1416468
12	50.19785703	27.69402291
13	50.19424091	27.7455236
14	51.05709461	28.82356559
15	51.62041572	27.51781988
16	50.14522444	27.90151636
17	51.27107715	28.14485362
18	50.80233136	28.71832356
19	51.12729043	27.40009061
20	51.23003999	28.67383397
21	90.35489897	8.517424611
22	91.77477431	9.114168018
23	92.71911226	7.694892551
24	92.40940271	7.729292895
25	90.37340323	8.550217353
26	90.72806125	8.544125938
27	92.50593646	9.938712823
28	92.28368729	7.507966273
29	92.72307049	7.112438052
30	91.96268693	7.751668604
31	91.54413407	7.249310428
32	91.93808184	8.092432857
33	92.79123532	9.244818243
34	91.12126346	8.57989345
35	90.16917272	7.037300318
36	91.77741751	7.485384355
37	92.78059338	8.532533249
38	91.6868796	8.841673812
39	73.78081273	27.86496179
40	11.40290313	3.860971985
41	56.64126669	11.33319708
42	3.700738296	5.718347256
43	23.29322022	18.86347104
44	74.76335696	1.894302312
45	45.29843572	21.16337665
46	35.57499109	6.767214669
47	45.19619398	0.349995983
48	80.81057406	17.39913092
49	35.08872774	10.97031022
50	21.73103194	16.85899292
51	83.43853802	22.12702996
52	15.59794302	22.99836883
53	8.483922313	13.99882299
54	49.79098372	26.65971622
55	77.19553161	2.212424969
56	54.71800845	29.24257539
57	59.5593937	6.778848863
58	88.56898813	24.7708823
59	46.96805384	15.84644186
60	65.41003713	3.761982175
61	37.692495	25.94239816
62	6.999862356	26.77028768
63	12.7972323	3.767685547
64	6.404569351	3.440439638
65	80.59989159	23.51833496
